corpus,htid,text_string,lang,occurs,author,title,pub_date,gender,genre,white,origin_area,origin_nation,place_id,formatted_address,location_type,country_long,country_short,admin_1_long,admin_1_short,admin_2,admin_3,admin_4,admin_5,locality,sublocality_1,sublocality_2,sublocality_3,neighborhood,premise,subpremise,street_number,street_address,route,post_code,natural_feature,point_of_interest,colloquial_area,continent,other,lat,lon,wordcount
Hathi,uiuo.ark:/13960/t7jq1b680,paris,en,12,Ouida,"Guilderoy / by Ouida.",1889,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,61994
Hathi,njp.32101067632248,paris,en,8,Ouida,"Guilderoy / by Ouida.",1889,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,66067
Hathi,njp.32101067632578,paris,en,24,Ouida,"Syrlin / by Ouida.",1890,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,76675
Hathi,nyp.33433075727200,paris,en,2,"pseud. Fitz-David, Forester","Alice Littleton. A tale.",1859,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,249874
Hathi,uiuo.ark:/13960/t8v98h32d,paris,en,1,"Black, William","Green pastures and Piccadilly / by William Black ...",1877,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,61998
Hathi,mdp.39015063973427,paris,en,10,"Ward, Humphry, Mrs","Robert Elsmere, by Mrs. Humphry Ward.",1888,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,166524
Hathi,uc1.b3314283,paris,en,7,"Kingsley, Henry","Old Margaret. A novel.",1871,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,37075
Hathi,uc1.b3324325,paris,en,13,Ouida,"Guilderoy / by Ouida.",1889,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,86888
Hathi,mdp.39015059417934,paris,en,3,"Street, G. S. (George Slythe","Episodes, by G.S. Street.",1895,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,38676
Hathi,uc1.b3123822,paris,en,4,"Hogg, James","Tales and sketches,",1859,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,161468
Hathi,mdp.49015002129915,paris,en,14,"Richardson, Samuel","The works of Samuel Richardson. With a prefatory chapter of biographical criticism by Leslie Stephen.",1884,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,262659
Hathi,uc2.ark:/13960/t15m68w3h,paris,en,2,"Gaskell, Elizabeth Cleghorn","A dark night's work and other tales / by Mrs. Gaskell.",1890,female,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,235749
Hathi,uiuo.ark:/13960/t9p27j96c,paris,en,19,"Scott, Hugh Stowell","The slave of the lamp, by Henry Seton Merriman [pseud.] ...",1892,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,44489
